provider,name,code,level,domain,cost_usd,validity_years,exam_format,popular,url
Microsoft,Azure AI Fundamentals,AI-900,Fundamentals,AI & ML,99,0,40-60 MCQ (45 min),true,https://learn.microsoft.com/credentials/certifications/azure-ai-fundamentals/
Microsoft,Azure AI Engineer Associate,AI-102,Associate,AI Engineering,165,1,40-60 MCQ + case study,true,https://learn.microsoft.com/credentials/certifications/azure-ai-engineer/
Microsoft,Azure Data Scientist Associate,DP-100,Associate,Machine Learning,165,1,40-60 MCQ + labs,false,https://learn.microsoft.com/credentials/certifications/azure-data-scientist/
Microsoft,Azure Developer Associate (AI workloads),AZ-204,Associate,Cloud Development,165,1,40-60 MCQ + case study,false,https://learn.microsoft.com/credentials/certifications/azure-developer/
Microsoft,Azure Solutions Architect Expert,AZ-305,Expert,Architecture,165,1,40-60 MCQ + design,false,https://learn.microsoft.com/credentials/certifications/azure-solutions-architect/
Google,Professional Machine Learning Engineer,GCP-PMLE,Professional,Machine Learning,200,2,50-60 MCQ (2 hrs),true,https://cloud.google.com/learn/certification/machine-learning-engineer
Google,Cloud Digital Leader,GCP-CDL,Foundational,Cloud Strategy,99,3,50-60 MCQ (90 min),true,https://cloud.google.com/learn/certification/cloud-digital-leader
Google,Professional Data Engineer,GCP-PDE,Professional,Data Engineering,200,2,50-60 MCQ (2 hrs),false,https://cloud.google.com/learn/certification/data-engineer
Google,Generative AI Leader,GCP-GAIL,Foundational,Generative AI,99,3,50-60 MCQ (90 min),false,https://cloud.google.com/learn/certification/generative-ai-leader
AWS,AWS Certified AI Practitioner,AIF-C01,Foundational,AI & ML,100,3,65 MCQ (90 min),true,https://aws.amazon.com/certification/certified-ai-practitioner/
AWS,AWS Certified Machine Learning Engineer Associate,MLA-C01,Associate,ML Engineering,150,3,65 MCQ (130 min),true,https://aws.amazon.com/certification/certified-machine-learning-engineer-associate/
AWS,AWS Certified Machine Learning Specialty,MLS-C01,Specialty,Machine Learning,300,3,65 MCQ (180 min),false,https://aws.amazon.com/certification/certified-machine-learning-specialty/
AWS,AWS Certified Data Engineer Associate,DEA-C01,Associate,Data Engineering,150,3,65 MCQ (130 min),false,https://aws.amazon.com/certification/certified-data-engineer-associate/
Anthropic,Anthropic Academy — AI Fluency,ACAD-CF,Foundational,Prompt Engineering,0,0,Self-paced modules,true,https://www.anthropic.com/learn
Anthropic,Anthropic Academy — Building with the Claude API,ACAD-API,Intermediate,AI Development,0,0,Self-paced + projects,false,https://docs.anthropic.com/en/docs/intro
Anthropic,Anthropic Academy — Claude for Enterprise,ACAD-ENT,Professional,Enterprise AI,0,0,Coming soon,false,https://www.anthropic.com/learn
