provider,course_name,platform,level,duration_hours,cost,url_placeholder,rating,tags
Microsoft,Azure AI Fundamentals Learning Path,Microsoft Learn,Beginner,10,Free,https://learn.microsoft.com/azure-ai,4.7,"Azure;Fundamentals;AI-900"
Microsoft,Build AI Solutions with Azure AI Services,Microsoft Learn,Intermediate,18,Free,https://learn.microsoft.com/ai-102,4.6,"Azure;AI-102;Cognitive Services"
Microsoft,Copilot Studio in a Day,Microsoft Learn,Intermediate,8,Free,https://learn.microsoft.com/copilot-studio,4.5,"Copilot;Agents;Low-code"
Microsoft,Designing & Implementing a Data Science Solution,Coursera,Advanced,24,Paid,https://coursera.org/azure-ds,4.6,"DP-100;ML;Azure ML"
Google,Machine Learning on Google Cloud Specialization,Coursera,Intermediate,40,Paid,https://coursera.org/gcp-ml,4.7,"Vertex AI;ML;Specialization"
Google,Introduction to Generative AI Learning Path,Google Cloud Skills Boost,Beginner,6,Free,https://cloudskillsboost.google/genai,4.6,"Gemini;GenAI;Fundamentals"
Google,Prepare for the Professional ML Engineer Exam,Google Cloud Skills Boost,Advanced,30,Free,https://cloudskillsboost.google/pmle,4.5,"PMLE;Vertex AI;Cert Prep"
Google,Gemini API Quickstart for Developers,Google AI Studio,Beginner,4,Free,https://ai.google.dev/quickstart,4.8,"Gemini;API;Developers"
AWS,AWS AI Practitioner Exam Prep,AWS Skill Builder,Beginner,12,Free,https://skillbuilder.aws/ai-practitioner,4.5,"AIF-C01;Bedrock;Cert Prep"
AWS,Building Generative AI Applications with Amazon Bedrock,AWS Skill Builder,Intermediate,16,Paid,https://skillbuilder.aws/bedrock,4.6,"Bedrock;GenAI;RAG"
AWS,Amazon SageMaker for Machine Learning,Coursera,Advanced,28,Paid,https://coursera.org/sagemaker,4.5,"SageMaker;ML;MLOps"
AWS,Practical Data Science with Amazon SageMaker,edX,Intermediate,20,Free,https://edx.org/aws-data-science,4.4,"SageMaker;Data Science"
Anthropic,Anthropic Academy — Introduction to Claude,Anthropic Academy,Beginner,3,Free,https://anthropic.com/academy,4.9,"Claude;Prompting;Fundamentals"
Anthropic,Prompt Engineering Interactive Tutorial,Anthropic Academy,Beginner,5,Free,https://anthropic.com/prompt-tutorial,4.9,"Prompting;Claude;Hands-on"
Anthropic,Building Agents with Claude & MCP,Anthropic Academy,Intermediate,8,Free,https://anthropic.com/mcp,4.8,"MCP;Agents;Claude API"
Anthropic,Claude for Enterprise Teams,Anthropic Academy,Intermediate,6,Free,https://anthropic.com/teams,4.7,"Enterprise;Claude;Workflows"
